id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	question_template	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
36096		Q	T	q1025raznao	"((431594X1785X36094.NAOK == ""nao""))"	"<strong>Expresse o motivo.</strong>"		pt-BR		Y	N		0																																																																																																																																				
14563	36094	C	1	431594X1785X36094	'==																																																																																																																																												
36097		Q	S	q1025eviextA	"((431594X1785X36095A.NAOK == ""Y""))"	"Indique os sites e/ou portais que estão sob o modelo de Administração Total"		pt-BR		Y	N		0																																																																																																																																				
14564	36095	C	1	+431594X1785X36095A	'==																																																																																																																																												
36098		Q	S	q1025eviextB	"((431594X1785X36095B.NAOK == ""Y""))"	"Indique os sites e/ou portais que estão sob o modelo de Administração Parcial"		pt-BR		Y	N		0																																																																																																																																				
14565	36095	C	1	+431594X1785X36095B	'==																																																																																																																																												
36099		Q	S	q1025eviextC	"((431594X1785X36095C.NAOK == ""Y""))"	"Indique os sites e/ou portais que estão sob o modelo de Administração do Cliente"		pt-BR		Y	N		0																																																																																																																																				
14566	36095	C	1	+431594X1785X36095C	'==																																																																																																																																												
36110		Q	S	q1025eviextD	"((431594X1785X36095D.NAOK == ""Y""))"	"Indique os sites e/ou portais que estão nessa situação"		pt-BR		Y	N		0																																																																																																																																				
14567	36095	C	1	+431594X1785X36095D	'==																																																																																																																																												
1792		G	3			"<p style=""font-size:14pt;""><strong>1030 Avaliação do SETIC pelos órgãos setoriais</strong></p><p style=""font-size:14pt;""> </p><hr /><p><span style=""color:#B22222;"">Atenção: Responda as questões a seguir com cautela, avaliando as respostas que são apresentadas.</span></p>"		pt-BR																																																																																																																																									
36111		Q	L	q1031	"((431594X1785X36104.NAOK == ""sim""))"	"<p><strong>1031. Nos últimos doze meses, o Gestor de TI recebeu comunicações do Diretor Geral do SETIC (PRODERJ)?</strong></p>"	"O PRODERJ possui diversos meios para enviar ou receber comunicação aos órgãos pertencentes do nível setorial do SETIC, como, por exemplo, grupos de mensagens na plataforma Whatsapp, lista de e-mails, comunicação institucional por ofícios e a Plataforma do AtendeRJ (Central de Atendimento)."	pt-BR		Y	N		0																																																																																																																																				
14601	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36111		A	0	sim		Sim		pt-BR													0																																																																																																																												
36111		A	0	nao		Não		pt-BR													0																																																																																																																												
36112		Q	L	q1032	"((431594X1792X36111.NAOK == ""sim""))"	"<strong>1032. Considerando os meios de comunicação disponibilizadas pelo Diretor Geral (PRODERJ), qual a satisfação do Gestor de TI em relação à relevância da comunicação do Diretor Geral com os órgãos setoriais no SETIC?</strong>"	"O PRODERJ possui diversos meios para enviar ou receber comunicação aos órgãos pertencentes do nível setorial do SETIC, como, por exemplo, grupos de mensagens na plataforma Whatsapp, lista de e-mails, comunicação institucional por ofícios e a Plataforma do AtendeRJ (Central de Atendimento)."	pt-BR		Y	N		0																																																																																																																																				
14572	36111	C	1	431594X1792X36111	'==																																																																																																																																												
36112		A	0	4		"Muito Satisfeito"		pt-BR													0																																																																																																																												
36112		A	0	3		Satisfeito		pt-BR													0																																																																																																																												
36112		A	0	2		Insatisfeito		pt-BR													0																																																																																																																												
36112		A	0	1		"Muito Insatisfeito"		pt-BR													0																																																																																																																												
36113		Q	T	q1032raz	"(((!is_empty(431594X1792X36112.NAOK) && (431594X1792X36112.NAOK == 1)) or (!is_empty(431594X1792X36112.NAOK) && (431594X1792X36112.NAOK == 2)) or (!is_empty(431594X1792X36112.NAOK) && (431594X1792X36112.NAOK == 3)) or (!is_empty(431594X1792X36112.NAOK) && (431594X1792X36112.NAOK == 4))))"	"Ajude-nos a entender por que você escolheu a opção acima"		pt-BR		Y	N		0																																																																																																																																				
14568	36112	C	1	431594X1792X36112	'==																																																																																																																																												
14569	36112	C	1	431594X1792X36112	'==																																																																																																																																												
14570	36112	C	1	431594X1792X36112	'==																																																																																																																																												
14571	36112	C	1	431594X1792X36112	'==																																																																																																																																												
36114		Q	L	q1033	"((431594X1785X36104.NAOK == ""sim""))"	"<strong>1033. Nos últimos doze meses, o Gestor de TI recebeu auxílio e/ou orientação do Diretor Geral do SETIC (PRODERJ)?</strong>"	"Considera-se auxílio as ações pedagógicas, consultivas e orientativas realizadas pelo PRODERJ, como, por exemplo, no âmbito da elaboração e revisão do PEDTIC dos órgãos do nível setorial, ajuda no planejamento das contratações de TIC, oferta de eventos pedagógicos e dialógicos entre Diretor Geral e Setoriais, orientação no cumprimento dos normativos vigentes acerca de tecnologia da informação, entre outras ações."	pt-BR		Y	N		0																																																																																																																																				
14602	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36114		A	0	sim		Sim		pt-BR													0																																																																																																																												
36114		A	0	nao		Não		pt-BR													0																																																																																																																												
36115		Q	L	q1034	"((431594X1785X36104.NAOK == ""sim"") and (431594X1792X36114.NAOK == ""sim""))"	"<strong>1034. Qual a satisfação do Gestor de TI em relação ao auxílio e orientação prestados pelo Diretor Geral (PRODERJ) aos órgãos setoriais do SETIC?</strong>"	"Considera-se auxílio as ações pedagógicas, consultivas e orientativas realizadas pelo PRODERJ no âmbito da elaboração e revisão do PEDTIC dos órgãos do nível setorial, ajuda no planejamento das contratações de TIC, oferta de eventos pedagógicos e dialógicos entre Diretor Geral e Setoriais, orientação no cumprimento dos normativos vigentes acerca de tecnologia da informação, entre outras ações."	pt-BR		Y	N		0																																																																																																																																				
14603	36104	C	1	431594X1785X36104	'==																																																																																																																																												
14608	36114	C	1	431594X1792X36114	'==																																																																																																																																												
36115		A	0	1		"Muito insatisfeito"		pt-BR													0																																																																																																																												
36115		A	0	2		Insatisfeito		pt-BR													0																																																																																																																												
36115		A	0	3		Satisfeito		pt-BR													0																																																																																																																												
36115		A	0	4		"Muito satisfeito"		pt-BR													0																																																																																																																												
36116		Q	T	q1034raz	"(((!is_empty(431594X1792X36115.NAOK) && (431594X1792X36115.NAOK == 1)) or (!is_empty(431594X1792X36115.NAOK) && (431594X1792X36115.NAOK == 2)) or (!is_empty(431594X1792X36115.NAOK) && (431594X1792X36115.NAOK == 3)) or (!is_empty(431594X1792X36115.NAOK) && (431594X1792X36115.NAOK == 4))))"	"Ajude-nos a entender por que você escolheu a opção acima"		pt-BR		Y	N		0																																																																																																																																				
14573	36115	C	1	431594X1792X36115	'==																																																																																																																																												
14574	36115	C	1	431594X1792X36115	'==																																																																																																																																												
14575	36115	C	1	431594X1792X36115	'==																																																																																																																																												
14576	36115	C	1	431594X1792X36115	'==																																																																																																																																												
36117		Q	L	q1035	"((431594X1785X36104.NAOK == ""sim""))"	"<strong>1035. As boas práticas de TIC induzidas pelo Diretor Geral do SETIC (PRODERJ) aos órgãos setoriais ajudaram o Gestor de TI a lidar com seus problemas?</strong>"	"O Diretor Geral induz a adoção de boas práticas, por exemplo, quando da elaboração de normas técnicas que dispõem de diretrizes, princípios e objetivos a serem perseguidos pelas organizações, da oferta de cursos técnicos, práticos e teóricos por meio do seu programa Academia PRODERJ, da apresentação e fomento de boas práticas em eventos, como o Fórum de TIC ou Café com TIC"	pt-BR		Y	N		0																																																																																																																																				
14604	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36117		A	0	4		"Sim, ajudaram bastante "		pt-BR													0																																																																																																																												
36117		A	0	3		"Sim, ajudaram de alguma forma "		pt-BR													0																																																																																																																												
36117		A	0	2		"Não, realmente não ajudaram"		pt-BR													0																																																																																																																												
36117		A	0	1		"Não, aparentemente pioraram as coisas"		pt-BR													0																																																																																																																												
36117		A	0	nsa		"Desconheço as boas práticas de TIC induzidas pelo Diretor Geral (PRODERJ)"		pt-BR													0																																																																																																																												
36118		Q	T	q1035raz	"(((!is_empty(431594X1792X36117.NAOK) && (431594X1792X36117.NAOK == 1)) or (!is_empty(431594X1792X36117.NAOK) && (431594X1792X36117.NAOK == 2)) or (!is_empty(431594X1792X36117.NAOK) && (431594X1792X36117.NAOK == 3)) or (!is_empty(431594X1792X36117.NAOK) && (431594X1792X36117.NAOK == 4)) or 431594X1792X36117.NAOK == ""nsa""))"	"Ajude-nos a entender por que você escolheu a opção acima"		pt-BR		Y	N		0																																																																																																																																				
14577	36117	C	1	431594X1792X36117	'==																																																																																																																																												
14578	36117	C	1	431594X1792X36117	'==																																																																																																																																												
14579	36117	C	1	431594X1792X36117	'==																																																																																																																																												
14580	36117	C	1	431594X1792X36117	'==																																																																																																																																												
14581	36117	C	1	431594X1792X36117	'==																																																																																																																																												
36119		Q	F	q1036	"((431594X1785X36104.NAOK == ""sim""))"	"<strong>1036. Como o Gestor de TI avalia os atos e normativos de TIC elaborados pelo Diretor Geral do SETIC (PRODERJ) para cumprimento dos órgãos do nível setorial.</strong>"	"O Diretor Geral deve disciplinar por meio de atos, regulamentos e instruções normativas quais as diretrizes técnicas e procedimentais a serem seguidas no âmbito das organizações da Administração Direta e Indireta do Poder Executivo Estadual, sobre segurança da informação, contratações de soluções de TIC, adoção de padrões, além de outros temas correlatos à área de TIC."	pt-BR		Y	N		0																																																																																																																																				
14605	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36120		SQ		SQ001	1	"Os atos e normativos são de simples compreensão"		pt-BR			N		0																																																																																																																																				
